"Pulau","Provinsi","Singkatan ISO[3]","Ibu kota","Diresmikan sebagai Provinsi","Populasi(Proyeksi BPS 2020)","Luas Total (km²)","Populasi / Luas (jiwa / km²)","APBD 2020 (miliar rupiah)","PDRB 2020 (triliun rupiah)","PDRB per kapita 2020 (juta rupiah)","IPM 2020","Agama (approx.) 2020"
"Sumatra","Aceh https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Aceh.png/23px-Flag_of_Aceh.png","AC","Banda Aceh","7 Desember 1959","5.371.532","57.956,00","91[4]","17,279,52","164,21","30,70","71.99[5]","Islam 98%"
"Sumatra","Sumatera Utara https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_North_Sumatra.svg/22px-Flag_of_North_Sumatra.svg.png","SU","Medan","29 November 1956","15.851.851","72.981,23","189","8.565,53","523,77","38,05","68,68","Islam 64%"
"Sumatra","Sumatera Barat https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Flag_of_West_Sumatra.png/23px-Flag_of_West_Sumatra.png","SB","Padang","9 Agustus 1957","5.131.900","42.012,89","121","3.887,84","167,04","32,55","69,36","Islam 90%"
"Sumatra","Riau https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Flag_of_Riau.svg/22px-Flag_of_Riau.svg.png","RI","Pekanbaru","9 Agustus 1957","6.188.442","87.023,66","66","9.425,83","679,69","109,83","70,33","Islam 91%"
"Sumatra","Kepulauan Riau https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Riau_Islands.png/23px-Flag_of_Riau_Islands.png","KR","Tanjung Pinang","25 Oktober 2002","1.917.415","8.201,72","237","3.944,69","182,92","95,40","73,40","Islam 60%"
"Sumatra","Jambi https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_Jambi.svg/22px-Flag_of_Jambi.svg.png","JA","Jambi","9 Agustus 1957","3.344.400","50.058,16","63","3.548,66","153,86","46,00","68,24","Islam 65%"
"Sumatra","Bengkulu https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_Bengkulu.png/22px-Flag_of_Bengkulu.png","BE","Bengkulu","18 November 1968","1.844.800","19.919,33","93","2.012,91","45,24","24,52","68,06","Islam 70%"
"Sumatra","Sumatera Selatan https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_South_Sumatra_%28vectorised%29.svg/22px-Flag_of_South_Sumatra_%28vectorised%29.svg.png","SS","Palembang","14 Agustus 1950","7.941.500","91.592,43","93","7.697,99","308,41","38,84","66,75","Islam 95%"
"Sumatra","Kepulauan Bangka Belitung https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Flag_of_Bangka-Belitung.svg/22px-Flag_of_Bangka-Belitung.svg.png","BB","Pangkal Pinang","21 November 2000","1.343.900","16.424,06","82","2.276,18","56,39","41,96","68,27","Islam 63%"
"Sumatra","Lampung https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Lampung.svg/22px-Flag_of_Lampung.svg.png","LA","Bandar Lampung","18 Maret 1964","8.026.191","34.623,80","227","4.350,25","231,01","28,78","66,42","Islam 68%"
"Jawa","DKI Jakarta https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Flag_of_Jakarta_%28vectorised%29.svg/22px-Flag_of_Jakarta_%28vectorised%29.svg.png","JK","Jakarta","28 Agustus 1961","10.012.271","664,01","13.530","79.285,13","1.761,41","175,93","78,39","Islam 88%"
"Jawa","Banten https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Banten.png/23px-Flag_of_Banten.png","BT","Serang","4 Oktober 2000","11.704.877","9.662,92","1.298","8.398,20","432,76","36,97","69,89","Islam 90%"
"Jawa","Jawa Barat https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_West_Java_%28vectorised%29.svg/23px-Flag_of_West_Java_%28vectorised%29.svg.png","JB","Bandung","4 Juli 1950","46.029.668","35.377,76","1.306","23.067,20","1.385,96","30,11","68,80","Islam 91%"
"Jawa","Jawa Tengah https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Flag_of_Central_Java.svg/22px-Flag_of_Central_Java.svg.png","JT","Semarang","4 Juli 1950","33.522.663","32.800,69","986","14.336,87","925,66","27,61","68,75","Islam 96%"
"Jawa","DI Yogyakarta https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Flag_of_Yogyakarta.svg/22px-Flag_of_Yogyakarta.svg.png","YO","Yogyakarta","4 Maret 1950","3.553.100","3.133,15","1.134","3.662,33","93,45","26,30","76,81","Islam 85%"
"Jawa","Jawa Timur https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Flag_of_East_Java.svg/22px-Flag_of_East_Java.svg.png","JI","Surabaya","4 Juli 1950","38.610.202","47.799,75","806","18.786,51","1.540,70","39,90","68,14","Islam 86%"
"Kepulauan Nusa Tenggara","Bali https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Flag_of_Bali.svg/22px-Flag_of_Bali.svg.png","BA","Denpasar","14 Agustus 1958","4.104.900","5.780,06","738","5.461,18","156,45","38,11","72,48","Hindu 81%"
"Kepulauan Nusa Tenggara","Nusa Tenggara Barat https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_West_Nusa_Tenggara.svg/22px-Flag_of_West_Nusa_Tenggara.svg.png","NB","Mataram","14 Agustus 1958","4.773.795","18.572,32","239","2.884,89","82,25","17,23","64,31","Islam 85%"
"Kepulauan Nusa Tenggara","Nusa Tenggara Timur https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Flag_of_East_Nusa_Tenggara.svg/22px-Flag_of_East_Nusa_Tenggara.svg.png","NT","Kupang","14 Agustus 1958","5.036.897","48.718,10","106","2.916,88","68,60","13,62","62,31","Kristen 93%"
"Kalimantan","Kalimantan Barat https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Flag_of_West_Kalimantan.svg/22px-Flag_of_West_Kalimantan.svg.png","KB","Pontianak","7 Desember 1956","4.716.093","147.307,00","41","3.929,94","131,93","27,98","64,85","Islam 55%"
"Kalimantan","Kalimantan Tengah https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Flag_of_Central_Kalimantan.png/23px-Flag_of_Central_Kalimantan.png","KT","Palangka Raya","2 Juli 1958","2.439.858","153.564,50","16","3.510,91","89,87","36,84","67,77","Islam 70%"
"Kalimantan","Kalimantan Selatan https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Flag_of_South_Kalimantan.png/23px-Flag_of_South_Kalimantan.png","KS","Banjarmasin","7 Desember 1956","3.922.790","38.744,23","107","6.010,91","131,59","33,55","67,63","Islam 98%"
"Kalimantan","Kalimantan Timur https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_East_Kalimantan.svg/22px-Flag_of_East_Kalimantan.svg.png","KI","Samarinda","2 Juli 1958","3.351.432","129.066,64","17","15.731,10","519,93","155,14","73,82","Islam 70%"
"Kalimantan","Kalimantan Utara https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_North_Kalimantan.png/23px-Flag_of_North_Kalimantan.png","KU","Tanjung Selor","25 Oktober 2012","618.384","13.925,72","9","2.299,60","59,08","95,54","68,64","Islam 55%"
"Sulawesi","Sulawesi Utara https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_North_Sulawesi.svg/22px-Flag_of_North_Sulawesi.svg.png","SA","Manado","13 Desember 1960","2.386.604","13.851,64","171","2.625,93","80,62","33,78","69,96","Kristen 91%"
"Sulawesi","Gorontalo https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_Gorontalo.png/23px-Flag_of_Gorontalo.png","GO","Gorontalo","22 Desember 2000","1.115.633","11.257,07","93","1.406,32","25,2","22,59","65,17","Islam 68%"
"Sulawesi","Sulawesi Tengah https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Flag_of_Central_Sulawesi.png/23px-Flag_of_Central_Sulawesi.png","ST","Palu","23 September 1964","2.831.283","61.841,29","42","2.514,84","90,26","31,88","66,43","Islam 85%"
"Sulawesi","Sulawesi Barat https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Flag_of_West_Sulawesi.tif/lossless-page1-23px-Flag_of_West_Sulawesi.tif.png","SR","Mamuju","5 Oktober 2004","1.258.090","16.787,18","75","1.388,27","29,39","23,36","62,24","Islam 70%"
"Sulawesi","Sulawesi Selatan https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_South_Sulawesi.svg/22px-Flag_of_South_Sulawesi.svg.png","SN","Makassar","13 Desember 1960","8.432.163","46.717,48","183","6.186,39","300,12","35,59","68,49","Islam 85%"
"Sulawesi","Sulawesi Tenggara https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Flag_of_Southeast_Sulawesi.svg/22px-Flag_of_Southeast_Sulawesi.svg.png","SG","Kendari","23 September 1964","2.448.081","38.067,70","67","2.416,99","78,62","32,12","68,07","Islam 75%"
"Kepulauan Maluku","Maluku Utara https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Flag_of_North_Maluku.png/20px-Flag_of_North_Maluku.png","MU","Sofifi","4 Oktober 1999","1.138.667","31.982,50","27","1.599,66","24,05","21,12","65,18","Islam 58%"
"Kepulauan Maluku","Maluku https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Flag_of_Maluku.png/23px-Flag_of_Maluku.png","MA","Ambon","17 Juni 1958","1.657.409","46.914,03","34","2.013,83","31,73","19,15","66,74","Kristen 63%"
"Papua","Papua Barat https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_West_Papua_%28vectorised%29.svg/22px-Flag_of_West_Papua_%28vectorised%29.svg.png","PB","Manokwari","4 Oktober 1999","849.809","99.671,63","7","6.570,74","58,29","68,59","61,28","Kristen 91%"
"Papua","Papua https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Papua.svg/22px-Flag_of_Papua.svg.png","PA","Jayapura","10 September 1969","3.091.047","319.036,05","10","12.141,30","123,18","39,85","56,75","Kristen 93%"